Producto,País,Ciudad,Cantidad_total_sacos,Devolución,Moneda,Pedido_ID,Fecha_Pedido,Cliente,Línea_Producto,Venta_Total,Canal_Venta,Costo_Envío,Ruta,Transportista,Devoluciones,Satisfacción_Cliente,Distribuidora,Contacto_Comercial,Tipo_Cliente,Incoterm,Medio_Transporte,Nro_Contenedor,Puerto_Salida
Harina panadera especial Don Angelo (50 kg),Perú,Piura,245,No,PEN,10110,2024-03-18,Supermercado Túpac Amaru,Panadera,5074.39,Distribuidor,98.57,Ruta Norte,DHL,1,5,Distribuidora Andina Sur,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,312,No,PEN,10125,2024-05-21,Bodega Santa Rosa,Panadera,6483.46,Distribuidor,117.98,Ruta Norte,UPS,3,4,Distribuciones Santa Clara,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,212,No,PEN,10139,2024-07-16,Bodega San Martín,Panadera,7956.46,Distribuidor,239.08,Ruta Norte,DHL,2,3,TransHarinas SAC,Miguel Sánchez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Cuba,Santiago de Cuba,302,No,USD,10149,2024-09-12,Bodega Habana Centro,Panadera,4230.62,Tienda física,297.9,Ruta Sur,DHL,0,4,TransHarinas SAC,Carlos Huamán,Exportación,FOB,Aéreo,CONT-895543,Paita
Harina panadera especial Don Angelo (50 kg),Perú,Cusco,363,No,PEN,10162,2024-10-18,Bodega Los Olivos,Panadera,7209.12,Tienda física,87.39,Ruta Sur,DHL,4,2,TransHarinas SAC,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Piura,271,No,PEN,10173,2024-11-05,Panadería San José,Panadera,3452.68,Tienda física,264.81,Ruta Sur,FedEx,0,4,Logística Norte SAC,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),EEUU,Los Ángeles,266,No,USD,10182,2024-11-12,Pantry Houston LLC,Panadera,3047.73,Tienda física,252.57,Ruta Centro,FedEx,3,5,TransHarinas SAC,Rosa Fernández,Exportación,CIF,Marítimo,CONT-454528,Paita
Harina panadera especial Don Angelo (50 kg),Perú,Piura,350,No,PEN,10193,2024-11-21,Supermercado El Sol,Panadera,3675.32,Distribuidor,82.9,Ruta Norte,FedEx,3,4,TransHarinas SAC,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Guatemala,Quetzaltenango,384,No,USD,10205,2024-12-03,Panadería Chapina,Panadera,7492.4,Online,131.81,Ruta Sur,DHL,2,4,Harinas Express,Carmen Vásquez,Exportación,DAP,Marítimo,CONT-678206,Paita
Harina panadera especial Don Angelo (50 kg),Cuba,Santiago de Cuba,253,Sí,USD,10214,2024-01-26,Panadería El Malecón,Panadera,9534.5,Distribuidor,134.71,Ruta Norte,FedEx,2,5,Harinas Express,Miguel Sánchez,Exportación,DAP,Aéreo,CONT-514662,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Cusco,367,No,PEN,10227,2024-03-02,Pastelería Dulce Hogar,Panadera,5579.02,Online,293.9,Ruta Norte,DHL,4,4,Logística Integral Perú,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Chile,Concepción,338,No,USD,10244,2024-04-29,Panadería La Vega,Panadera,5950.34,Tienda física,70.65,Ruta Centro,DHL,2,5,Logística Norte SAC,Patricia Salazar,Exportación,DAP,Marítimo,CONT-285562,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Piura,379,No,PEN,10255,2024-06-04,Supermercado Mi Perú,Panadera,3726.0,Distribuidor,243.76,Ruta Centro,UPS,4,2,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,343,No,PEN,10280,2024-08-17,Supermercado Túpac Amaru,Panadera,4455.0,Tienda física,113.57,Ruta Sur,DHL,1,5,Distribuidora Andina Sur,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Cuba,Santiago de Cuba,297,No,USD,10289,2024-09-03,Panadería El Malecón,Panadera,8272.34,Distribuidor,224.64,Ruta Sur,FedEx,4,2,Distribuciones Santa Clara,Juan Pérez,Exportación,FOB,Marítimo,CONT-487194,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Piura,400,Sí,PEN,10304,2024-10-11,Panadería El Trigal,Panadera,3577.6,Tienda física,137.6,Ruta Centro,FedEx,2,2,Distribuciones Santa Clara,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Piura,254,No,PEN,10312,2024-10-21,Panificadora InkaPan,Panadera,3881.25,Online,181.94,Ruta Centro,DHL,0,5,Harinas Express,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Lima,308,No,PEN,10322,2024-11-04,Bodega San Martín,Panadera,5797.44,Online,253.13,Ruta Norte,FedEx,2,4,Distribuidora Andina Sur,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,347,No,PEN,10332,2024-11-17,Panadería El Trigal,Panadera,1264.08,Online,245.17,Ruta Norte,DHL,3,3,Distribuidora Andina Sur,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,388,Sí,PEN,10347,2024-11-29,Panadería Doña Rosa,Panadera,4815.3,Distribuidor,262.6,Ruta Sur,UPS,2,5,Logística Integral Perú,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Cuba,La Habana,324,No,USD,10356,2024-12-09,Panadería El Malecón,Panadera,4462.2,Online,36.69,Ruta Sur,DHL,1,4,TransHarinas SAC,Juan Pérez,Exportación,DAP,Aéreo,CONT-788313,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Piura,217,No,PEN,10367,2024-01-12,Pastelería El Buen Sabor,Panadera,3033.28,Distribuidor,213.77,Ruta Centro,DHL,4,2,Harinas Express,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,360,No,PEN,10380,2024-02-16,Bodega Santa Rosa,Panadera,990.78,Online,59.2,Ruta Sur,UPS,3,1,Logística Norte SAC,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,297,No,PEN,10390,2024-03-04,Panadería Doña Rosa,Panadera,2030.86,Online,136.43,Ruta Norte,FedEx,4,3,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,215,No,PEN,10421,2024-05-29,Minimarket Don Lucho,Panadera,5433.75,Distribuidor,173.6,Ruta Centro,UPS,4,4,Distribuidora Andina Sur,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Chiclayo,250,Sí,PEN,10109,2024-03-10,Minimarket Don Lucho,Panadera,3157.44,Distribuidor,132.77,Ruta Norte,UPS,2,3,Distribuciones Santa Clara,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Cuba,La Habana,395,No,USD,10123,2024-05-20,Panadería El Malecón,Panadera,5161.2,Online,165.49,Ruta Centro,DHL,0,1,Harinas Express,Juan Pérez,Exportación,DAP,Aéreo,CONT-445999,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,210,No,PEN,10137,2024-07-10,Panadería San José,Panadera,4346.76,Distribuidor,299.03,Ruta Centro,DHL,3,1,Distribuciones Santa Clara,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,303,Sí,PEN,10148,2024-09-11,Panificadora Andina,Panadera,3528.36,Online,57.86,Ruta Norte,UPS,1,1,TransHarinas SAC,Miguel Sánchez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Colombia,Cali,219,No,USD,10161,2024-10-17,Panadería La Candelaria,Panadera,3187.8,Distribuidor,209.13,Ruta Sur,FedEx,1,5,TransHarinas SAC,Diego Chávez,Exportación,DAP,Marítimo,CONT-649059,Paita
Harina panadera especial Doña Angélica (50 kg),EEUU,Houston,233,No,USD,10172,2024-11-05,Andes Bakery LA,Panadera,6023.16,Tienda física,130.88,Ruta Sur,UPS,0,3,Distribuciones Santa Clara,María Torres,Exportación,FOB,Aéreo,CONT-051141,Matarani
Harina panadera especial Doña Angélica (50 kg),Perú,Lima,311,No,PEN,10181,2024-11-12,Panadería Doña Rosa,Panadera,3884.76,Tienda física,57.24,Ruta Sur,FedEx,0,5,Logística Integral Perú,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Cusco,250,No,PEN,10192,2024-11-20,Bodega Santa Rosa,Panadera,4965.84,Tienda física,64.45,Ruta Sur,UPS,2,1,Distribuciones Santa Clara,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,217,No,PEN,10204,2024-12-02,Panadería San José,Panadera,4169.88,Tienda física,285.8,Ruta Norte,UPS,1,4,Distribuidora Andina Sur,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,248,No,PEN,10212,2024-01-16,Panadería Doña Rosa,Panadera,4910.4,Tienda física,266.29,Ruta Centro,FedEx,3,1,Distribuciones Santa Clara,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Colombia,Cali,219,No,USD,10226,2024-02-26,Panadería La Candelaria,Panadera,3231.36,Online,273.97,Ruta Norte,UPS,0,5,Logística Integral Perú,María Torres,Exportación,DAP,Aéreo,CONT-016319,Paita
Harina panadera especial Doña Angélica (50 kg),El Salvador,San Salvador,268,No,USD,10241,2024-04-13,Mercado Centro,Panadera,6853.44,Tienda física,297.63,Ruta Sur,DHL,0,1,Logística Norte SAC,Carmen Vásquez,Exportación,CIF,Aéreo,CONT-048137,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Lima,341,No,PEN,10253,2024-06-01,Panificadora InkaPan,Panadera,5177.04,Tienda física,78.33,Ruta Sur,UPS,0,1,Distribuciones Santa Clara,Miguel Sánchez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,400,No,PEN,10266,2024-07-06,Pastelería La Estrella,Panadera,2824.8,Tienda física,119.52,Ruta Norte,DHL,3,5,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Lima,276,No,PEN,10278,2024-08-06,Supermercado Túpac Amaru,Panadera,4324.32,Tienda física,207.38,Ruta Centro,FedEx,1,5,Distribuciones Santa Clara,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Piura,383,No,PEN,10287,2024-08-30,Pastelería Dulce Hogar,Panadera,5052.96,Distribuidor,155.46,Ruta Norte,FedEx,3,4,Distribuciones Santa Clara,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),EEUU,Los Ángeles,232,No,USD,10301,2024-10-05,Pantry Houston LLC,Panadera,3223.44,Online,137.15,Ruta Norte,DHL,3,5,Distribuidora Andina Sur,Lucía Ramírez,Exportación,FOB,Marítimo,CONT-375928,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,291,No,PEN,10311,2024-10-16,Pastelería La Estrella,Panadera,5278.68,Tienda física,120.19,Ruta Norte,UPS,2,4,Distribuciones Santa Clara,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Chiclayo,284,Sí,PEN,10321,2024-11-04,Bodega Santa Rosa,Panadera,2851.2,Tienda física,186.26,Ruta Centro,DHL,0,2,Distribuidora Andina Sur,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,249,No,PEN,10331,2024-11-17,Pastelería El Buen Sabor,Panadera,1687.4,Tienda física,181.17,Ruta Norte,DHL,1,2,Logística Integral Perú,Miguel Sánchez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Colombia,Cali,354,No,USD,10343,2024-11-24,Pastelería Antioqueña,Panadera,1308.0,Online,65.21,Ruta Norte,FedEx,2,5,TransHarinas SAC,Lucía Ramírez,Exportación,DAP,Aéreo,CONT-203558,Matarani
Harina panadera especial Doña Angélica (50 kg),EEUU,Los Ángeles,205,No,USD,10366,2024-01-10,Pantry Houston LLC,Panadera,6144.6,Distribuidor,152.09,Ruta Sur,DHL,2,1,Logística Norte SAC,Rosa Fernández,Exportación,CIF,Aéreo,CONT-797446,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,249,Sí,PEN,10379,2024-02-10,Pastelería El Buen Sabor,Panadera,5127.2,Online,174.97,Ruta Norte,UPS,4,3,Harinas Express,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Chiclayo,360,No,PEN,10407,2024-04-22,Supermercado Mi Perú,Panadera,6386.16,Distribuidor,179.68,Ruta Sur,DHL,0,1,Logística Integral Perú,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),El Salvador,San Salvador,297,No,USD,10419,2024-05-17,Mercado Centro,Panadera,7695.6,Tienda física,78.83,Ruta Sur,FedEx,1,5,Distribuciones Santa Clara,Rosa Fernández,Exportación,DAP,Marítimo,CONT-219820,Callao
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Chiclayo,351,No,PEN,10103,2024-01-29,Pastelería Dulce Hogar,Panadera,2242.89,Tienda física,227.84,Ruta Sur,UPS,1,4,TransHarinas SAC,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Cuba,La Habana,295,Sí,USD,10112,2024-03-24,Bodega Habana Centro,Panadera,2539.89,Online,27.06,Ruta Centro,FedEx,1,1,TransHarinas SAC,Carlos Huamán,Exportación,DAP,Marítimo,CONT-378172,Callao
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Cusco,397,No,PEN,10126,2024-05-28,Bodega Los Olivos,Panadera,2795.27,Online,119.35,Ruta Sur,DHL,0,2,Harinas Express,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Chiclayo,372,No,PEN,10139,2024-07-16,Panadería El Trigal,Panadera,5545.76,Distribuidor,238.46,Ruta Norte,DHL,1,5,Logística Norte SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Venezuela,Valencia,300,No,USD,10150,2024-09-19,Panadería El Ávila,Panadera,4285.46,Distribuidor,177.89,Ruta Norte,FedEx,3,1,Harinas Express,Ana Rojas,Exportación,DAP,Marítimo,CONT-076326,Matarani
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Arequipa,338,No,PEN,10163,2024-10-20,Pastelería Dulce Hogar,Panadera,3329.09,Online,93.13,Ruta Sur,FedEx,3,1,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Trujillo,300,No,PEN,10174,2024-11-06,Supermercado El Sol,Panadera,5592.22,Distribuidor,214.59,Ruta Sur,UPS,0,4,Harinas Express,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Trujillo,319,Sí,PEN,10183,2024-11-13,Bodega Los Olivos,Panadera,3298.55,Online,178.87,Ruta Norte,FedEx,1,4,Distribuidora Andina Sur,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Venezuela,Caracas,272,No,USD,10193,2024-11-21,Panadería El Ávila,Panadera,2609.88,Distribuidor,242.95,Ruta Sur,FedEx,4,4,Logística Norte SAC,Ana Rojas,Exportación,FOB,Aéreo,CONT-377763,Matarani
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Cusco,219,No,PEN,10206,2024-12-05,Supermercado El Sol,Panadera,3336.29,Online,225.81,Ruta Centro,DHL,4,3,TransHarinas SAC,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Trujillo,259,No,PEN,10215,2024-01-29,Panificadora Andina,Panadera,5510.05,Online,190.83,Ruta Sur,DHL,4,5,TransHarinas SAC,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Lima,231,No,PEN,10228,2024-03-10,Panadería El Trigal,Panadera,2504.4,Online,156.69,Ruta Centro,FedEx,3,5,Distribuciones Santa Clara,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Trujillo,257,No,PEN,10244,2024-04-29,Bodega Santa Rosa,Panadera,3525.6,Distribuidor,57.29,Ruta Centro,FedEx,4,2,Distribuidora Andina Sur,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Arequipa,320,No,PEN,10257,2024-06-14,Bodega Los Olivos,Panadera,4407.0,Distribuidor,93.17,Ruta Centro,DHL,1,2,Logística Integral Perú,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Venezuela,Caracas,253,No,USD,10270,2024-07-19,Panadería El Ávila,Panadera,2983.44,Distribuidor,137.35,Ruta Sur,UPS,1,5,Logística Norte SAC,María Torres,Exportación,CIF,Marítimo,CONT-203146,Paita
Harina panadera especial Doña Angélica (10 kg) (50 kg),Panamá,Ciudad de Panamá,258,No,USD,10280,2024-08-17,Canal Market,Panadera,5126.24,Online,187.8,Ruta Centro,UPS,4,1,Distribuidora Andina Sur,Ana Rojas,Exportación,CIF,Aéreo,CONT-839818,Callao
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Chiclayo,329,No,PEN,10291,2024-09-08,Panadería El Trigal,Panadera,5713.79,Distribuidor,163.84,Ruta Centro,UPS,2,5,Distribuidora Andina Sur,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Lima,339,Sí,PEN,10304,2024-10-11,Minimarket Don Lucho,Panadera,4613.8,Distribuidor,100.69,Ruta Sur,UPS,4,3,Logística Norte SAC,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Trujillo,236,Sí,PEN,10312,2024-10-21,Panificadora InkaPan,Panadera,3711.1,Online,21.81,Ruta Centro,DHL,2,2,Logística Integral Perú,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Colombia,Cali,320,No,USD,10322,2024-11-04,Supermercado Cafetal,Panadera,3524.73,Tienda física,158.95,Ruta Sur,FedEx,0,2,Distribuciones Santa Clara,Miguel Sánchez,Exportación,FOB,Aéreo,CONT-718295,Matarani
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Cusco,246,Sí,PEN,10333,2024-11-18,Minimarket Don Lucho,Panadera,2795.27,Online,99.98,Ruta Norte,UPS,0,2,Distribuciones Santa Clara,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),El Salvador,San Salvador,232,No,USD,10347,2024-11-29,Mercado Centro,Panadera,4814.4,Distribuidor,225.69,Ruta Centro,DHL,1,5,Logística Integral Perú,María Torres,Exportación,CIF,Aéreo,CONT-907258,Matarani
Harina panadera especial Doña Angélica (10 kg) (50 kg),EEUU,Los Ángeles,385,No,USD,10357,2024-12-10,Latin Market Miami,Panadera,3572.33,Online,26.7,Ruta Sur,FedEx,3,2,TransHarinas SAC,María Torres,Exportación,DAP,Marítimo,CONT-240017,Callao
Harina panadera especial Doña Angélica (10 kg) (50 kg),Guatemala,Quetzaltenango,260,No,USD,10369,2024-01-20,Supermercado Quetzal,Panadera,4581.36,Tienda física,183.75,Ruta Norte,UPS,1,2,Logística Norte SAC,Patricia Salazar,Exportación,FOB,Marítimo,CONT-270212,Matarani
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Chiclayo,276,No,PEN,10381,2024-02-17,Panadería San José,Panadera,4319.76,Online,283.61,Ruta Centro,FedEx,1,5,Distribuciones Santa Clara,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (10 kg) (50 kg),Colombia,Bogotá,255,No,USD,10391,2024-03-09,Pastelería Antioqueña,Panadera,1448.0,Distribuidor,68.83,Ruta Centro,UPS,3,1,Distribuidora Andina Sur,Pedro Castillo,Exportación,FOB,Aéreo,CONT-496076,Paita
Harina panadera especial Doña Angélica (10 kg) (50 kg),Perú,Cusco,200,No,PEN,10423,2024-05-30,Bodega San Martín,Panadera,881.4,Tienda física,152.06,Ruta Sur,FedEx,1,2,Distribuciones Santa Clara,Lucía Ramírez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Chiclayo,328,No,PEN,10103,2024-01-29,Supermercado Mi Perú,Panadera,2011.1,Distribuidor,45.6,Ruta Norte,UPS,3,2,Harinas Express,María Torres,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Chiclayo,341,No,PEN,10111,2024-03-25,Panificadora Andina,Panadera,1801.24,Tienda física,195.19,Ruta Sur,UPS,1,2,TransHarinas SAC,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Trujillo,263,No,PEN,10126,2024-05-28,Pastelería El Buen Sabor,Panadera,3390.2,Tienda física,174.15,Ruta Centro,FedEx,0,3,Logística Integral Perú,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Chiclayo,400,No,PEN,10139,2024-07-16,Supermercado El Sol,Panadera,1424.0,Online,134.06,Ruta Centro,FedEx,2,5,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Chile,Concepción,374,No,USD,10150,2024-09-19,Distribuidora Andina Chile,Panadera,1499.1,Online,165.99,Ruta Centro,FedEx,1,2,TransHarinas SAC,María Torres,Exportación,DAP,Aéreo,CONT-354682,Callao
Harina panadera especial GN (50 kg),Venezuela,Valencia,226,No,USD,10163,2024-10-20,Supermercado Orinoco,Panadera,3358.08,Distribuidor,271.04,Ruta Centro,DHL,2,3,Logística Integral Perú,Diego Chávez,Exportación,CIF,Marítimo,CONT-110478,Paita
Harina panadera especial GN (50 kg),Perú,Lima,231,No,PEN,10173,2024-11-05,Bodega Santa Rosa,Panadera,1504.16,Online,74.96,Ruta Norte,DHL,4,1,TransHarinas SAC,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Cusco,320,No,PEN,10183,2024-11-13,Supermercado Túpac Amaru,Panadera,2655.12,Online,26.32,Ruta Norte,FedEx,1,1,Distribuciones Santa Clara,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Chile,Santiago,337,No,USD,10193,2024-11-21,Panadería La Vega,Panadera,1244.16,Tienda física,261.27,Ruta Sur,DHL,0,3,TransHarinas SAC,Andrés Quispe,Exportación,CIF,Aéreo,CONT-022372,Matarani
Harina panadera especial GN (50 kg),Perú,Piura,318,No,PEN,10206,2024-12-05,Pastelería Dulce Hogar,Panadera,1888.88,Online,181.59,Ruta Sur,UPS,3,1,Distribuidora Andina Sur,María Torres,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Cusco,209,No,PEN,10215,2024-01-29,Supermercado Mi Perú,Panadera,1820.01,Tienda física,269.38,Ruta Sur,FedEx,0,4,Logística Norte SAC,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Colombia,Medellín,292,No,USD,10228,2024-03-10,Supermercado Cafetal,Panadera,2866.95,Tienda física,187.14,Ruta Centro,DHL,2,1,TransHarinas SAC,Rosa Fernández,Exportación,CIF,Aéreo,CONT-966039,Matarani
Harina panadera especial GN (50 kg),Perú,Cusco,200,No,PEN,10244,2024-04-29,Bodega Santa Rosa,Panadera,1394.16,Tienda física,246.85,Ruta Sur,FedEx,3,4,TransHarinas SAC,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Lima,366,No,PEN,10257,2024-06-14,Panificadora InkaPan,Panadera,2632.28,Distribuidor,140.31,Ruta Norte,UPS,0,3,Logística Integral Perú,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Trujillo,331,No,PEN,10269,2024-07-16,Panadería San José,Panadera,2018.56,Distribuidor,229.96,Ruta Sur,UPS,0,4,Harinas Express,Pedro Castillo,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Cusco,281,No,PEN,10280,2024-08-17,Panificadora Andina,Panadera,2954.53,Distribuidor,275.65,Ruta Sur,DHL,0,1,Distribuidora Andina Sur,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Trujillo,258,No,PEN,10291,2024-09-08,Supermercado Túpac Amaru,Panadera,1871.83,Tienda física,180.19,Ruta Norte,UPS,3,2,Distribuciones Santa Clara,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Chile,Concepción,256,Sí,USD,10304,2024-10-11,Panadería La Vega,Panadera,1559.04,Distribuidor,70.62,Ruta Norte,FedEx,0,4,Logística Integral Perú,Luis Gutiérrez,Exportación,CIF,Aéreo,CONT-220261,Callao
Harina panadera especial GN (50 kg),Colombia,Bogotá,243,No,USD,10312,2024-10-21,Pastelería Antioqueña,Panadera,1880.2,Distribuidor,95.26,Ruta Centro,DHL,0,1,Logística Integral Perú,Juan Pérez,Exportación,DAP,Aéreo,CONT-149231,Paita
Harina panadera especial GN (50 kg),Perú,Cusco,324,No,PEN,10322,2024-11-04,Panificadora Andina,Panadera,1224.67,Online,75.62,Ruta Norte,FedEx,2,2,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Arequipa,346,No,PEN,10332,2024-11-17,Supermercado Túpac Amaru,Panadera,2979.08,Distribuidor,89.12,Ruta Norte,FedEx,0,3,Harinas Express,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Arequipa,247,No,PEN,10347,2024-11-29,Bodega San Martín,Panadera,2208.64,Distribuidor,105.8,Ruta Sur,FedEx,0,3,Logística Norte SAC,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Arequipa,224,No,PEN,10357,2024-12-10,Panadería El Trigal,Panadera,3458.42,Tienda física,175.44,Ruta Norte,UPS,4,5,Logística Integral Perú,Pedro Castillo,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Trujillo,223,No,PEN,10369,2024-01-20,Panadería San José,Panadera,1237.88,Tienda física,184.64,Ruta Centro,FedEx,3,3,Logística Norte SAC,Miguel Sánchez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Perú,Trujillo,276,No,PEN,10381,2024-02-17,Supermercado Mi Perú,Panadera,2723.2,Tienda física,139.42,Ruta Sur,UPS,4,5,Distribuciones Santa Clara,Lucía Ramírez,Nacional,,Terrestre,,
Harina panadera especial GN (50 kg),Cuba,La Habana,396,No,USD,10392,2024-03-10,Panadería El Malecón,Panadera,2218.52,Tienda física,192.32,Ruta Centro,FedEx,2,3,Distribuidora Andina Sur,Luis Gutiérrez,Exportación,FOB,Marítimo,CONT-912436,Paita
